EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	19:34:55	0	0.1500	1.2091124892234801	1.0936800241470337	0.3944	0.3944	0.3944
1	19:43:53	1	0.1500	1.0457452356815338	1.163572907447815	0.3521	0.3521	0.3521
2	19:53:05	0	0.1500	0.9654897511005401	1.1507651805877686	0.4789	0.4789	0.4789
3	20:02:06	1	0.1500	0.920525798201561	1.5346741676330566	0.3662	0.3662	0.3662
4	20:10:03	0	0.1500	0.7354062825441361	1.0474967956542969	0.493	0.493	0.493
