EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
0	09:31:25	0	0.1000	1.1871461033821107	1.2497752904891968	0.4857	0.4857	0.4857
1	09:32:58	1	0.1000	1.0580049872398376	1.3550540208816528	0.4429	0.4429	0.4429
2	09:34:31	2	0.1000	1.0203324913978578	1.0502419471740723	0.4	0.4	0.4
3	09:36:04	3	0.1000	1.0053628772497176	1.2566226720809937	0.4571	0.4571	0.4571
4	09:37:36	4	0.1000	0.9431565433740616	1.0589478015899658	0.4857	0.4857	0.4857
